ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000006016	146.50523598115566	0.28433184453398214	0.21780725608963328	1.3054287062730925	0.19174690883481205	0.3787813315617521	CRLF1
ENSG00000006025	160.6658756559497	-0.9528999898030358	0.17591412004920234	-5.4168476614413565	6.065898052688147e-8	8.809028049213985e-7	OSBPL7
ENSG00000006042	3093.0253374348176	-0.035814022062839894	0.0800925738863315	-0.4471578365513344	0.6547611020171581	0.8085741900646531	TMEM98
ENSG00000006062	197.28337852810787	-0.7019836033139674	0.19382715950259727	-3.621698863644343	2.926746948425584e-4	0.0019766053727003083	MAP3K14
ENSG00000006114	997.9134241772881	-0.5172263578073271	0.09582221464375956	-5.397770858565848	6.747396464234497e-8	9.709866544496267e-7	SYNRG
ENSG00000006118	434.81652017064835	-0.5064084912402869	0.11870929646122737	-4.2659547848107175	1.9904909311008988e-5	1.7910954648589467e-4	TMEM132A
ENSG00000006125	6753.997747487408	0.037697448647613575	0.10539779941035121	0.35766827067085116	0.7205915806953617	0.8513089019364211	AP2B1
ENSG00000006194	553.2788571873657	0.09720800478473121	0.12223307664140433	0.7952675941382931	0.42645785973234146	0.6312032037045905	ZNF263
ENSG00000006282	1372.300495561974	-0.11301588608201994	0.08871715527383889	-1.2738898777038032	0.2027024462397377	0.3924446993990436	SPATA20
ENSG00000006283	63.08584323951777	-1.467499279721564	0.2795779058925785	-5.248981585424055	1.5294236120937387e-7	2.0631259560356668e-6	CACNA1G
ENSG00000006327	559.9538884080744	-0.26073116726397977	0.21031441553775418	-1.2397208560208044	0.21507866027601405	0.4083862003502823	TNFRSF12A
ENSG00000006451	1097.656815055497	-0.5616741763530784	0.11754079503541472	-4.778546684015941	1.7656677052315862e-6	1.9691447240300213e-5	RALA
ENSG00000006453	152.2085284897072	-0.21238895179342562	0.16365363866653881	-1.2977954753953869	0.1943576248390711	0.38228348347007857	BAIAP2L1
ENSG00000006459	396.4407131070171	-0.011791250385429603	0.1852084001318599	-0.06366477102029267	0.9492371564688077	0.9744504027448534	KDM7A
ENSG00000006468	200.16127305693917	-0.26786906383962367	0.20725295589887593	-1.2924740333755427	0.1961930327536371	0.38469517808327913	ETV1
ENSG00000006530	309.7295286435642	3.847433083931569e-4	0.12438555235868472	0.003093151102337761	0.997532026426639	0.9983915725247141	AGK
ENSG00000006534	1144.3208612367746	0.4453122162599516	0.11754213977798335	3.7885324965248115	1.5153977331653696e-4	0.0011010943810114463	ALDH3B1
ENSG00000006576	1072.8062921866735	-0.4341728473095583	0.09731660168837937	-4.461446862888176	8.140813361371408e-6	7.977791388184122e-5	PHTF2
ENSG00000006607	879.4044229238531	0.5939691612717543	0.11586329258603509	5.126465406036155	2.952322731550466e-7	3.778826941793925e-6	FARP2
ENSG00000006625	194.54944279007407	-0.16690306908154004	0.15769450776157298	-1.0583949400057102	0.28987542535221056	0.49705288753054516	GGCT
ENSG00000006634	85.63696355647635	-0.36234573456203567	0.2033072833836219	-1.7822565356811297	0.07470740708554988	0.1916864052461355	DBF4
ENSG00000006638	65.9009341711499	-0.6483432712148257	0.23581002815260654	-2.7494304474415507	0.005969893109481691	0.026377371634118334	TBXA2R
ENSG00000006652	1076.4549890962917	-0.04756104813037022	0.09505005908584482	-0.5003789433462138	0.6168082771086916	0.7832157487752421	IFRD1
ENSG00000006695	184.5449421250535	0.2207372893745461	0.16364096037024084	1.3489122092361454	0.17736516613840256	0.36042742957187546	COX10
ENSG00000006704	281.56851546680997	-0.2276280626191243	0.1499783343896023	-1.517739635831729	0.12908004787431124	0.2881575235753402	GTF2IRD1
ENSG00000006712	1103.4063182226084	-0.20629074730751024	0.101568161783749	-2.031057210100232	0.04224919145411998	0.1250785700434663	PAF1
ENSG00000006715	2220.14238185337	-0.06692433434547097	0.0869150727431615	-0.7699968743423343	0.44130174679486955	0.644829098173367	VPS41
ENSG00000006740	35.650827750301225	-0.05214265232210049	0.31215787222648	-0.16703936360851862	0.8673390763351313	0.9336964732575253	ARHGAP44
ENSG00000006744	925.4391388143696	0.16085384284274903	0.10633322442692261	1.5127336136909462	0.13034733767104115	0.2904033102528883	ELAC2
ENSG00000006756	439.4552145840561	-0.008429698681953814	0.1299076996313743	-0.06488990803373397	0.9482616558822846	0.9743266040337715	ARSD
ENSG00000006757	148.2779862926905	0.012088582026716818	0.18049896180145783	0.06697313882621558	0.9466030872865028	0.9743098876234328	PNPLA4
ENSG00000006831	1095.8933197359368	0.23825070570875811	0.09316866448327042	2.5571978199981493	0.010551919176005878	0.04184353838890061	ADIPOR2
ENSG00000006837	11.682819836287235	-0.7464246976375317	0.5335810667745564	-1.3988965203536803	0.16184401619908295	NA	CDKL3
ENSG00000007047	782.9340739106664	0.08652162069956086	0.10276205507287572	0.841960786383674	0.3998099034533931	0.6068562527553862	MARK4
ENSG00000007080	650.5556655160251	0.23678440445395424	0.11399004218921105	2.0772376245016027	0.03777963287136333	0.11491675386930576	CCDC124
ENSG00000007168	3296.3428314505154	0.10300826331950179	0.07726173152100069	1.333237830574673	0.18245376827546445	0.36673399710164056	PAFAH1B1
ENSG00000007202	4261.5223811147525	-0.010451647944240612	0.088849700856195	-0.11763289964427469	0.9063585357693301	0.9529993829099055	KIAA0100
ENSG00000007237	428.11603412806016	-1.408326127554385	0.18863196381849737	-7.465999393981201	8.266972690350166e-14	2.5855957126089138e-12	GAS7
ENSG00000007255	129.18691213374416	0.25506328791625515	0.2105915969173671	1.2111750499538596	0.2258283228482889	0.4215777000815554	TRAPPC6A
ENSG00000007341	154.29159022969063	0.12180640631011076	0.18346211397791948	0.6639322074135193	0.5067337013897424	0.6985657077809538	ST7L
ENSG00000007372	32.27028490662004	0.3003124576788084	0.32723874679058634	0.9177166842989739	0.3587672105427254	0.5666417977142435	PAX6
ENSG00000007376	251.4073095953524	0.10425013422608474	0.13538348596196245	0.770035824423778	0.44127864230601244	0.644829098173367	RPUSD1
ENSG00000007384	1830.7002575166348	0.05951905830875065	0.09889629185316415	0.601833063641267	0.5472852639348844	0.7317336110455479	RHBDF1
ENSG00000007392	670.7016959219029	-0.17738472339488354	0.10155984330983843	-1.746602964458293	0.0807062326378556	0.20294955210099755	LUC7L
ENSG00000007402	17.940629045097207	0.34130996347868686	0.5071812852188046	0.6729545695508882	0.5009761938237836	0.6941446672729863	CACNA2D2
ENSG00000007520	452.7422938691434	0.10034272984784315	0.12528217827641627	0.8009337898519933	0.42316997721107547	0.628268195623632	TSR3
ENSG00000007541	648.136697583555	0.1586698340728263	0.12856695755411876	1.2341416262108877	0.21715013468189448	0.4107108070373359	PIGQ
ENSG00000007545	211.12808890962557	0.08939522059471672	0.14618220257671813	0.6115328611757718	0.5408468702954616	0.7262319310043709	CRAMP1L
ENSG00000007866	1622.0907204047971	0.5916548218833032	0.08636606854658241	6.8505471169408185	7.356807546301018e-12	1.7721452712075726e-10	TEAD3
ENSG00000007923	615.2465047686367	0.028389184063800123	0.10224174855703849	0.2776672393074577	0.7812678112506584	0.8871670983309188	DNAJC11
ENSG00000007933	861.1352719390068	0.24156553641991488	0.11361512020890167	2.126174192094798	0.033488758149553606	0.1044033571491208	FMO3
ENSG00000007944	340.3573768591067	-0.5015478048873934	0.12260222886225033	-4.090853890192381	4.297878463771248e-5	3.5445501652569574e-4	MYLIP
ENSG00000007952	9.823396246514324	0.6313089371561957	0.5712955456092611	1.1050478898499603	0.2691388385680654	NA	NOX1
ENSG00000008018	1523.0243416322294	0.03945210852754453	0.08465155087679781	0.46605299157440455	0.6411775702175486	0.8002390309270305	PSMB1
ENSG00000008056	18.08350823066444	0.699224865366806	0.4588339628111033	1.5239169765963225	0.1275294520679889	0.28568438843764793	SYN1
ENSG00000008083	301.7231008888069	0.4376251203653567	0.14417520675417117	3.0353701598052027	0.0024024063850267815	0.01224609400450434	JARID2
ENSG00000008086	102.6719673771151	-0.244158698538539	0.23007438064624072	-1.061216367736111	0.28859158261310774	0.4952346483492412	CDKL5
ENSG00000008128	22.350653792701017	-0.2112612466770605	0.3836583447818083	-0.5506494242871418	0.5818740210118462	0.7584750599072994	CDK11A
ENSG00000008130	1666.8981578401688	0.7722103878710189	0.1247717129211039	6.188986027300161	6.055244984565474e-10	1.1800881337382439e-8	NADK
ENSG00000008256	3721.6162608746668	1.1794024069789164	0.10404165625713539	11.335867280544475	8.716432548934017e-30	1.0166768280572436e-27	CYTH3
ENSG00000008277	18.104661903423764	-0.28583404068407775	0.42362768201604334	-0.6747293739724328	0.4998477186631666	0.6932621957641218	ADAM22
ENSG00000008282	1968.1242424165123	0.2759070414903905	0.10738037216100907	2.5694364429719796	0.010186407544509326	0.040656608653105636	SYPL1
ENSG00000008283	522.047989788837	0.0037318403178534095	0.11106226281968554	0.03360133517099518	0.973195057558405	0.9854957689806919	CYB561
ENSG00000008294	2907.9937026724024	-0.0351258820199894	0.07993230816763873	-0.4394453610212449	0.6603388645639525	0.8115858664221672	SPAG9
ENSG00000008300	87.45768613823196	0.2599090457298537	0.21127385466619752	1.2301997620126608	0.21862230899325058	0.4126664196525487	CELSR3
ENSG00000008311	722.9198784109662	1.0917305524408774	0.10748402811765587	10.157142149955806	3.0797142929329194e-24	2.527809937897798e-22	AASS
ENSG00000008324	122.01101036598129	0.534281934044654	0.21044347998010754	2.53883814359636	0.011122126491437017	0.043691453092342986	SS18L2
ENSG00000008382	82.60265347770928	0.05944126517033151	0.20923470456616802	0.284088938752194	0.7763422234992237	0.8846195988913854	MPND
ENSG00000008394	3595.6857320854115	0.10155764865942428	0.09428068679490524	1.0771840141592208	0.28139806549059126	0.48725618818568395	MGST1
ENSG00000008405	268.55564639495947	0.08487588918785437	0.15924484483089762	0.5329898702716827	0.5940405924358623	0.7664131495723163	CRY1
ENSG00000008441	10823.878398365103	-0.3303850857184974	0.07107228016585229	-4.648578671565342	3.34230142001937e-6	3.534364139656475e-5	NFIX
ENSG00000008513	1571.5265306713097	-0.5991545752109109	0.0977057623984402	-6.132233764960376	8.665364714932883e-10	1.655490182546229e-8	ST3GAL1
ENSG00000008517	183.113956827491	-0.7535707247337229	0.18920425495527352	-3.982842377999699	6.809592106063544e-5	5.386904759885965e-4	IL32
ENSG00000008710	5434.83329828473	0.4763892851350832	0.13019231493685612	3.659119859464318	2.530829573429553e-4	0.001742647638794721	PKD1
ENSG00000008735	17.380637910508028	0.373316602946472	0.46267087462518014	0.8068729272161426	0.4197396977943489	0.6251365141977472	MAPK8IP2
ENSG00000008838	1153.4128569254044	-0.029678951670562413	0.09532196238271154	-0.31135481193099374	0.7555309025894739	0.8720647985022699	MED24
ENSG00000008853	559.389626984023	0.5437089234689156	0.1186317618820078	4.58316486953716	4.579906471321807e-6	4.7333836835186665e-5	RHOBTB2
ENSG00000008869	709.337551095621	0.03808689235801643	0.09758253012992468	0.39030441521967363	0.6963114588248674	0.8357583610916486	HEATR5B
ENSG00000008952	5090.8658748074695	0.16919261372302652	0.08220917006140341	2.0580747086566342	0.039582962395885705	0.11911745793353538	SEC62
ENSG00000008988	10835.347348269848	-0.04150878323847356	0.07483136150404078	-0.5546976882978689	0.5791014576516671	0.7563226900614843	RPS20
ENSG00000009307	15809.42734890707	0.005210900970647465	0.07903759393128523	0.06592939778983896	0.9474340354420339	0.9743098876234328	CSDE1
ENSG00000009335	2105.3184725985025	0.20368381965592255	0.08138834198375401	2.50261664866671	0.01232789932843871	0.04741946498439616	UBE3C
ENSG00000009413	7595.173971891172	1.0915830581152615	0.12705681357628693	8.591298863794169	8.599163640721928e-18	3.877872836003467e-16	REV3L
ENSG00000009724	39.370771390364176	-0.40337504252458006	0.2920590684586217	-1.3811419883431197	0.1672353075252302	0.34655641539392146	MASP2
ENSG00000009780	174.68040967696635	0.5623549029343599	0.17676595732937214	3.1813529676786736	0.0014658891084794996	0.008049677076050435	FAM76A
ENSG00000009790	11.855758670817423	-0.22393070774318177	0.5109898713339412	-0.4382292493559798	0.6612201075506043	NA	TRAF3IP3
ENSG00000009830	419.9425028277878	0.0813274699665955	0.12047308631937838	0.675067539574719	0.49963285570857746	0.6932621957641218	POMT2
ENSG00000009844	845.1718686209257	-0.05960768637455305	0.09861506577905209	-0.6044480719417111	0.5455457835043439	0.7301681101873237	VTA1
ENSG00000009954	2946.0287134377095	-0.044566668733962825	0.09213501716576224	-0.48371042959466654	0.628591390317679	0.7912478284646343	BAZ1B
ENSG00000010017	1859.1870493922047	0.7168591212772978	0.12500785880249626	5.7345124390130175	9.779324802883476e-9	1.6070621363043578e-7	RANBP9
ENSG00000010030	14.729161444264712	-0.8510515620497032	0.47356627559675557	-1.7971118424285317	0.07231786604758249	0.18738384098816555	ETV7
ENSG00000010072	170.51528846210823	-0.0676043168632111	0.15659351986438746	-0.4317184831259782	0.6659460321909588	0.8155770860907177	SPRTN
ENSG00000010165	907.7379915254096	-0.03256068347090351	0.10403401483036798	-0.312981129527637	0.7542949988901191	0.8716110478795096	METTL13
ENSG00000010219	186.88629720581434	-0.24383979350536794	0.14878700463103156	-1.6388514179047584	0.10124420766785547	0.24024227190155978	DYRK4
ENSG00000010244	2031.2193590496183	0.11654409432597765	0.08016345416455588	1.453830745450929	0.14599323714876736	0.31429268496930723	ZNF207
ENSG00000010256	1798.0177148976206	0.468182435904894	0.0935826173541576	5.002878196204821	5.648063002002523e-7	6.855899949144377e-6	UQCRC1
ENSG00000010270	770.4856776012349	0.04521874651587994	0.10560179399351388	0.42820055233775006	0.668505114205433	0.8176064204248568	STARD3NL
ENSG00000010278	3888.02375898202	0.5657136105129885	0.09744617274804528	5.805395887385803	6.421409632338343e-9	1.0839535106252961e-7	CD9
ENSG00000010292	1193.273169344713	0.02527466721271675	0.10597880739026344	0.23848793768402798	0.8115026698298011	0.9052812395419032	NCAPD2
ENSG00000010295	1204.9503569521137	-0.07757603508800315	0.09838732327165602	-0.7884759185267082	0.43041837913457637	0.6348750835325975	IFFO1
ENSG00000010310	14.358566516751663	-1.1311605447369462	0.48903497113196	-2.3130463290154286	0.020720092083408203	0.07198897838519853	GIPR
ENSG00000010318	73.84818793932553	-0.03899839649451033	0.2423120890735935	-0.16094284294113773	0.8721384183363214	0.9359725550779214	PHF7
ENSG00000010322	2571.214066061171	-0.2684290939578577	0.08216166365116245	-3.2670844531281573	0.0010866125979107136	0.006213277269218172	NISCH
ENSG00000010361	183.18357289211258	0.15122981746594075	0.15837302224621616	0.9548963284342067	0.3396301266766412	0.548191654210183	FUZ
ENSG00000010404	1953.6312276258475	0.18673633065671852	0.09163752537265131	2.0377714249412597	0.04157279734248695	0.12366458672568775	IDS
ENSG00000010438	14.302601361772355	0.08651836008756365	0.5183219583715063	0.16692011343565688	0.8674329069427089	0.9336964732575253	PRSS3
ENSG00000010539	121.34149821401034	-0.13052998379803613	0.18226947202156504	-0.7161373890554343	0.4739065190051356	0.672240222997924	ZNF200
ENSG00000010610	58.09496142549427	-0.25896203251487243	0.25847002095690264	-1.0019035536738392	0.31639017612407927	0.5251054672315012	CD4
ENSG00000010626	143.03772607824953	-0.24379570992666633	0.17008547594161522	-1.433371712528549	0.15175163790937304	0.32341299064268497	LRRC23
ENSG00000010704	457.4562362072399	-0.16162709962412625	0.13408566888410273	-1.2054017477723815	0.22804824710646454	0.42415859892777125	HFE
ENSG00000010803	764.2151667038651	-0.008693723895125714	0.10126892248344703	-0.08584789570113922	0.9315873317226724	0.9666500017620493	SCMH1
ENSG00000010810	1685.323453637822	0.05357087035639031	0.09142359001305565	0.5859633202846244	0.5579001640629865	0.7403511758006082	FYN
ENSG00000010818	1413.958555940601	-0.35973271856690997	0.09348984661087471	-3.8478265994402214	1.1917035071227287e-4	8.90076865960274e-4	HIVEP2
ENSG00000010932	32.48373150448154	1.1632664028710071	0.951375315256704	1.222720817133173	0.2214351615822422	0.41617684293982593	FMO1
ENSG00000011007	1101.5603307930267	0.1767629961691845	0.09468817252711359	1.8667906608776204	0.06193082719256103	0.16701146278485376	TCEB3
ENSG00000011009	464.88526566960246	0.21089235621377123	0.1127667556162012	1.8701642612787233	0.06146101095291612	0.16604748570403827	LYPLA2
ENSG00000011021	620.9451596497904	0.08719501312155327	0.11167014645964174	0.7808265314048466	0.4349045273171391	0.6390106016547432	CLCN6
ENSG00000011028	16675.374557907675	-0.2244286945874341	0.08003969536880007	-2.8039673758543278	0.005047801244463625	0.022889956359358147	MRC2
ENSG00000011105	3563.6188113720923	0.2852012403106247	0.08919290663232494	3.1975775998229796	0.001385871179358446	0.00766627079516989	TSPAN9
ENSG00000011114	1189.717273298894	0.057930519284609946	0.09456142699216451	0.6126231501287533	0.5401255473801612	0.7257074735752377	BTBD7
ENSG00000011132	191.18002872072637	0.0964963003477956	0.15492035982214536	0.6228768152783607	0.5333654747435936	0.7211171875280955	APBA3
ENSG00000011143	143.59135384704206	-0.308237694921785	0.16512661359361178	-1.8666748394682136	0.06194700940269764	0.16701146278485376	MKS1
ENSG00000011198	1160.9045775016061	1.121073226254747	0.17706491742833508	6.331424895100906	2.429074029778349e-10	4.900159352919574e-9	ABHD5
ENSG00000011243	658.2355554895071	-0.18871534733839007	0.11504605841360789	-1.6403460487097263	0.10093323615685054	0.23981781979269118	AKAP8L
ENSG00000011258	369.49443498432186	-0.3086610931202665	0.1305083701680506	-2.3650674107937713	0.018026789362209215	0.06439087805110559	MBTD1
ENSG00000011260	409.4790144337288	0.2458476153782677	0.12121895370785307	2.028128505141029	0.042547134333780406	0.12568387710591647	UTP18
ENSG00000011275	1721.977801348831	0.007313886444739769	0.08214067608419048	0.08904098180593699	0.9290493406775828	0.9654570218335573	RNF216
ENSG00000011295	407.309851771133	0.12528585546463122	0.12816264667907623	0.9775535907771272	0.32829516022613464	0.5359194802260366	TTC19
ENSG00000011304	3594.7173048937075	0.3471106813565136	0.07973639268000292	4.353227800880506	1.3414762857652708e-5	1.251372316360592e-4	PTBP1
ENSG00000011332	11.089153628289884	0.18836271644483243	0.5473040500545142	0.34416466756653924	0.7307224522088436	NA	DPF1
ENSG00000011347	148.64079359173866	-0.9180423250317676	0.19533369946442647	-4.699866574732838	2.6033152321619606e-06	2.806478748890097e-5	SYT7
ENSG00000011376	427.98963594923407	0.02983103667266807	0.11688918856272346	0.25520783435553196	0.7985625804366085	0.8969085802427679	LARS2
ENSG00000011405	1507.6128966172228	0.35216241518424923	0.08535634424370678	4.125790745896592	3.694630915761348e-5	3.1166291134424024e-4	PIK3C2A
ENSG00000011422	388.7571712692387	0.04617845875501553	0.14973819905842875	0.3083946450898372	0.7577820561437493	0.872948531668571	PLAUR
ENSG00000011426	225.8798443012301	-0.019681944197646014	0.13785626433341674	-0.14277148951348057	0.8864706544451995	0.9431739773753699	ANLN
ENSG00000011451	1526.9456656617758	0.0707262242477696	0.09730809658165836	0.7268277433462902	0.46733148543135905	0.6667629295959416	WIZ
ENSG00000011454	2323.2248280077633	0.42342023848878263	0.113051206762318	3.7453845086235398	1.8011769380019824e-4	0.0012870408954041802	RABGAP1
ENSG00000011465	298756.9974452971	-0.1002102350726988	0.07606174394231595	-1.3174853727873594	0.1876759808926049	0.37354599584128556	DCN
ENSG00000011478	141.83928278467278	0.6820345429897762	0.1711583182336295	3.984816806033379	6.753220467373089e-5	5.345036179099935e-4	QPCTL
ENSG00000011485	968.0911850539709	0.5446369290504557	0.10582607549137629	5.146528646381088	2.653509586513993e-7	3.441797175216687e-6	PPP5C
ENSG00000011523	825.1484483459412	0.15484216660142897	0.1207167648343981	1.2826898303135015	0.19960076421216327	0.3886052529145694	CEP68
ENSG00000011566	1398.1758018639919	0.8041700539830972	0.10232970228232377	7.858618133808525	3.883943165069248e-15	1.3819176678834688e-13	MAP4K3
ENSG00000011638	892.3444401724149	0.10624125285257048	0.1217496819138405	0.8726203730680382	0.3828700321965299	0.5909325250686268	TMEM159
ENSG00000012048	221.65058310327132	-1.2142295771595601	0.1670599804335401	-7.26822530451933	3.6424092729685463e-13	1.0601256107234721e-11	BRCA1
ENSG00000012061	837.38494772889	0.008654423265443061	0.12523002178624407	0.0691082149631448	0.9449034820694872	0.9740373258916841	ERCC1
ENSG00000012171	1270.431358348336	-0.737379277911641	0.10656091852357545	-6.919790933938917	4.523106643964796e-12	1.1190901653560746e-10	SEMA3B
ENSG00000012174	724.1878445260938	0.11137882672805077	0.10482220936617245	1.0625498871043089	0.2879861231357379	0.49460108938289477	MBTPS2
ENSG00000012211	122.5465896496797	0.1634548212163715	0.18092115438533565	0.9034588673264631	0.3662824092735899	0.5736057959884111	PRICKLE3
ENSG00000012232	1260.2983208515425	0.08718853133992503	0.09187752939358698	0.9489646915343672	0.3426385702924455	0.5508707784171113	EXTL3
ENSG00000012660	2386.8135894127267	0.3993769841012947	0.11864958453639615	3.366020923392146	7.626092357380079e-4	0.004576540454160045	ELOVL5
ENSG00000012817	797.2276569687859	-0.12386620408978	0.12668654813325086	-0.9777376202522751	0.3282041101977334	0.535883629249283	KDM5D
ENSG00000012822	6064.951255631393	0.40731024802020643	0.1089962980434247	3.736918182835273	1.8628950699831184e-4	0.0013250385704102758	CALCOCO1
ENSG00000012963	539.5297773540988	-0.13103582819938714	0.12101150880290314	-1.0828377358124759	0.27888045268806844	0.4843565229008068	UBR7
ENSG00000012983	1885.9953565419853	-0.10378870485072517	0.08172927178589794	-1.2699085967952244	0.20411719056274466	0.394133679014172	MAP4K5
ENSG00000013016	1958.806151898971	0.4560895002915252	0.15261351962009362	2.9885261897300146	0.0028032647423638494	0.013933689826430758	EHD3
ENSG00000013275	938.0813701268686	0.13266083081885552	0.094350882034002	1.4060369967823665	0.15971313905885687	0.33504123410683523	PSMC4
ENSG00000013288	3151.3685114153595	0.07168336009234996	0.09913384890003324	0.7230967110399961	0.46962046979493344	0.6687371349301269	MAN2B2
ENSG00000013293	245.25784432663716	-2.8868124397662083	0.2162161489531252	-13.351511687464464	1.1606932636350135e-40	2.118333482208231e-38	SLC7A14
ENSG00000013297	3440.468114837456	-1.7783408927875501	0.17397450016002192	-10.221847978593589	1.582939656488898e-24	1.3345729832126236e-22	CLDN11
ENSG00000013306	976.6813607711067	-0.021185021778505234	0.0990450787193881	-0.21389272493311937	0.8306307136172789	0.9144542090940919	SLC25A39
ENSG00000013364	7760.350846325975	0.13491173889112792	0.07598160339676013	1.775584258029498	0.0758014665438794	0.19382036434732175	MVP
ENSG00000013374	1251.1052716333804	0.16672355373424994	0.09910403875531756	1.682308368338865	0.09250905924928635	0.22445117064614586	NUB1
ENSG00000013375	999.1526133348464	-0.29112386753360453	0.1097581305518167	-2.6524127740693	0.007991877414228507	0.033471380757809616	PGM3
ENSG00000013392	251.33323600854408	-0.27947294676455603	0.1409033000798856	-1.9834379081689917	0.0473185362970374	0.1367714651715933	RWDD2A
ENSG00000013441	2672.3189431281526	0.2587714322637561	0.13678609748332804	1.8917962938104587	0.058518127303412645	0.15979435114554488	CLK1
ENSG00000013503	254.95662155380256	0.09395661944847415	0.13463851136790478	0.6978435701189103	0.48527502776569553	0.6821995021050506	POLR3B
ENSG00000013523	345.87781397841934	-0.3134042708799214	0.12983723046518464	-2.4138243688427994	0.015786069664149322	0.05765684874513245	ANGEL1
ENSG00000013561	889.0116258216334	0.3108635162063468	0.10986864558882875	2.8294106525142677	0.004663381912408775	0.02139344080152064	RNF14
ENSG00000013563	172.90654850093546	-0.012386664799554829	0.16259636697108296	-0.07618045243137408	0.9392755341907459	0.9712045165567582	DNASE1L1
ENSG00000013573	215.20021142454576	-0.5096323136976271	0.15358734467083918	-3.318192099680126	9.060215011509439e-4	0.005307821581327263	DDX11
ENSG00000013583	1390.4744471713154	0.3848437218285661	0.12031160770244387	3.1987247878888483	0.0013803687335218198	0.007646363804524089	HEBP1
ENSG00000013588	582.8138923381399	-0.1547783065891458	0.1625951536934961	-0.9519244766723759	0.34113528510906543	0.5494349097822568	GPRC5A
